time_utc,lat,lon,alt,vel_e,vel_n,vel_u,pitch,roll,yaw
1553743985.00575,34.2128531517186,117.135247289271,47.9480678285995,0.0760770701117872,-3.53814719180015,-0.0399989744083969,-0.732313044784082,0.174624002287763,-179.802201294273
1553743985.01575,34.2128528326162,117.135247297455,47.9476845326366,0.0747673813724999,-3.54127001675307,-0.0366602181630031,-0.713973759028644,0.176436400794466,-179.792458798643
1553743985.02575,34.212852513123,117.135247305731,47.9473274002173,0.077770963618653,-3.54681999324742,-0.0347662657074037,-0.704898547266993,0.178720196249341,-179.78311134037
1553743985.03575,34.2128521930293,117.135247314705,47.9470568808929,0.0876305522936961,-3.55459179749324,-0.0193375991573134,-0.703078269863416,0.164079351295112,-179.771322849305
1553743985.04575,34.2128518724222,117.13524732459,47.9468515409545,0.0945481967051468,-3.5582096620106,-0.021730388528105,-0.707833708216158,0.14778703690002,-179.759882751483
1553743985.05575,34.2128515515518,117.135247335067,47.9466420683819,0.0985617713701463,-3.56043417839816,-0.0201641260011612,-0.71796275003431,0.139363250223593,-179.75073692352
1553743985.06575,34.2128512305801,117.13524734586,47.9464991846653,0.100350914115992,-3.56045521945536,-0.00841261730385513,-0.733107552395063,0.134328079449519,-179.743196755477
1553743985.07575,34.2128509094788,117.135247356919,47.9464314223263,0.10347755543193,-3.56331107978093,-0.00513985049557654,-0.751145803093762,0.124100811292503,-179.736379288541
1553743985.08576,34.2128505882797,117.135247368526,47.9464705430062,0.110454411425232,-3.56262357393736,0.0129639864678353,-0.771872517734912,0.100765001908254,-179.72997193905
1553743985.09576,34.2128502674145,117.135247380334,47.9465709671214,0.107172847038496,-3.55590268699229,0.00712083657546994,-0.790122249540475,0.0846825351962666,-179.724322239497
1553743985.10576,34.2128499473155,117.135247391614,47.9466248735227,0.100740620407776,-3.54562649592582,0.00366044367903483,-0.801589237866122,0.0728040742714566,-179.722261224866
1553743985.11576,34.2128496280827,117.135247402407,47.9466309070762,0.0981848261048976,-3.53668663699598,-0.00245373296655885,-0.80316822076262,0.0769013054980105,-179.717702129605
1553743985.12576,34.2128493096137,117.13524741281,47.9465636008281,0.0935386110258436,-3.52867940060397,-0.0110075166562599,-0.794906870173741,0.0716590723369369,-179.714125701426
1553743985.13576,34.2128489920128,117.135247422624,47.9463844707634,0.0873543722324711,-3.51742951594054,-0.0248184962861936,-0.783249795288439,0.0770740541940491,-179.709502746278
1553743985.14576,34.2128486752493,117.135247431955,47.9461035096507,0.0846150087496068,-3.51009814696784,-0.0313737262582429,-0.762690954261136,0.0917105352761445,-179.701891954521
1553743985.15576,34.2128483586624,117.135247441453,47.9458228173533,0.0904394646801489,-3.51351331515165,-0.0247647332175533,-0.743220591882017,0.0827656080321015,-179.695052315814
1553743985.16576,34.2128480418591,117.135247451549,47.9455457465667,0.0956338384335711,-3.51490113074045,-0.0306494241049968,-0.726432970895217,0.0644226620052177,-179.689335841553
1553743985.17576,34.2128477249349,117.135247461665,47.9452275000958,0.0908184212790817,-3.51619329869271,-0.0329998700751316,-0.719138321808291,0.0763041247545647,-179.68273555288
1553743985.18576,34.2128474078385,117.13524747109,47.9449355926712,0.082899197151516,-3.51872185869501,-0.025381614845651,-0.717676867650213,0.0833699783913833,-179.673909140947
1553743985.19576,34.2128470904473,117.135247479957,47.9447538413589,0.080523735063256,-3.52273233198855,-0.010968647601755,-0.7175913710991,0.0757138016832841,-179.662115138754
1553743985.20575,34.2128467726845,117.135247488778,47.9447155504302,0.0820582273022523,-3.52696793367543,0.00331046185450615,-0.728019116530502,0.0690487294880104,-179.64920121829
1553743985.21575,34.2128464549058,117.135247497488,47.9447265531101,0.078472775393472,-3.52308312191344,-0.00110992588502835,-0.741798464476713,0.0720654515728406,-179.636358131531
1553743985.22575,34.2128461374448,117.135247506107,47.9446869250261,0.0803765310708354,-3.51992175381046,-0.00681569089755327,-0.752535222793069,0.0778091788454656,-179.622479486339
1553743985.23575,34.2128458199386,117.135247515065,47.944662771053,0.0847236599797905,-3.52408587997934,0.00198489626193415,-0.767783285365935,0.082998088660195,-179.608002655768
1553743985.24575,34.2128455021247,117.135247524549,47.9446622253651,0.0900748254893915,-3.5267464832647,-0.00209403382612472,-0.788997931064643,0.0863384090013217,-179.593105399148
1553743985.25575,34.2128451844132,117.135247534372,47.9446651860702,0.0909892585302816,-3.52181535185467,0.0026861748369266,-0.812860680247712,0.0749053640024008,-179.577428236841
1553743985.26575,34.2128448673106,117.13524754413,47.9446306977445,0.0888549067643874,-3.51323755377055,-0.00958383998605737,-0.828481470030218,0.0770943913838033,-179.561665166265
1553743985.27575,34.2128445506245,117.135247553975,47.9445418646554,0.092593085185626,-3.51257384226393,-0.00818277781631366,-0.84353122700205,0.0790379041644973,-179.547238698992
1553743985.28575,34.2128442341368,117.135247564167,47.9444663365221,0.0952553317760895,-3.5088364690045,-0.00692284885009829,-0.85503574520933,0.0802757107923017,-179.532002166248
1553743985.29575,34.2128439181916,117.135247574438,47.9443465270279,0.0940518555589429,-3.50053956792893,-0.0170390499938098,-0.866864401773421,0.0819511593754824,-179.517629102377
1553743985.30575,34.212843602801,117.135247584578,47.9442034926848,0.0928394801178389,-3.49653255362419,-0.0115678186213101,-0.870836735802916,0.0778523276173818,-179.504541752325
1553743985.31575,34.2128432876598,117.135247594295,47.9440644100909,0.0862464001630885,-3.49500441888198,-0.0162487001592491,-0.871792221837267,0.0964136341578057,-179.491129133252
1553743985.32575,34.2128429724592,117.135247603542,47.9438896286423,0.0841909979804779,-3.49785083232791,-0.0187075895593582,-0.880170952316988,0.110849313794557,-179.476800897592
1553743985.33576,34.212842657485,117.135247613132,47.9436785183205,0.092558748501532,-3.4899826011767,-0.0235144748050355,-0.884429075035185,0.110855479775789,-179.460968748886
1553743985.34576,34.2128423431683,117.135247623468,47.9434313661484,0.097939322667128,-3.48326349349063,-0.0259159596104928,-0.884288495149031,0.123545197871595,-179.44712874367
1553743985.35576,34.2128420292041,117.135247634487,47.9431868429161,0.105158034018132,-3.48216410115623,-0.0229886868593019,-0.879195558271446,0.118398724865375,-179.435245382478
1553743985.36576,34.2128417155887,117.135247646106,47.9429246014962,0.10898215893947,-3.47552208375069,-0.0294595971243339,-0.870485642522518,0.111493074164059,-179.423250527332
1553743985.37576,34.2128414023241,117.135247658033,47.942635765759,0.110835236349292,-3.47438488056334,-0.028307550301445,-0.864895817515468,0.116178035904998,-179.410596372632
1553743985.38576,34.2128410889591,117.135247670238,47.9423933517014,0.114127375184685,-3.47774716256407,-0.0201752612242794,-0.860588277937779,0.104338095829557,-179.395402837727
1553743985.39576,34.2128407752491,117.135247682624,47.9422341840525,0.114157964285373,-3.48203816676959,-0.0116582685611598,-0.861223073239456,0.0844372697301588,-179.381244568019
1553743985.40576,34.2128404614857,117.135247694794,47.9420841622831,0.110148561827717,-3.47893306480124,-0.0183460853162711,-0.865106261674808,0.0858032782800653,-179.367224554083
